timestamp,speaker,words,tags
,EF,And did any of those films that you mentioned uhm change your perspective on the world? Or- ,culture;change
,JS,"It, Yes! It made me realize; some of those films made me realize the Vietnamese people's side of things, and that the war wasn't all one sided. It opened my mind about both sides of the conflict so to speak. So yeah, in that respect I guess it did because I originally started out blaming them for everything; and then as I saw more news programs, more historical film footage of the you know Vietnam War as I became a teenager in the 70s, that was more eye opening to me. That there wasn't, there's not just one side to any story. I guess.",culture;change;vietnam
,EF,Yeah!,
,JS,Opened my mind.,
,EF,"Yeah absolutely. Uhm- so then, can you tell me a little bit about your early 20s? Uhm maybe- ",adulthood
,JS,"So, I was married I got married just before I turned 20. And when I got married, I took on a child; my first husband had a child from a previous marriage that he had custody of, so I became a wife and a mother instantly. Just a couple weeks before I turned 20. So, my 20s were spent being a housewife and a mom with a kid. I did like my mother, I did part time work here and there as needed but mostly I was a housewife and a mom, and my concerns were you know, of course keeping-keeping our financials together, raising a child, you know trying to raise a child right. And my- we lived basically in southern Idaho for I would say the first year or year and a half of our marriage, and then we moved to Washington after that, and I've been here in Washington ever since.",adulthood
,EF,"So, um, what would you say as you've kind of experienced the 60s on, what do you think has changed the most in your opinion since the 1960s? ",change
,JS,"I would say our children, and the way they have been- the freedoms that they have, the lack of responsibility that they have. Which has not been a good thing in my opinion. The rules and laws that were made that prevent a parent from parenting their children, necessarily the right way. And I'm not an advocate of abuse by any means, but I do think that children need to have stronger disciplines than they have today and less uhm. I think children have too much electronic time, and not enough family time, outdoor time, and I-and I think that kids aren't made to- we were made to- if we wanted something we had to work for it. ",change;values;family
,JS,"You know, even clothing. If-if, my parents only have so much money for clothing so if I wanted that fancier pair of shoes, or that dress that was in style, I had to go babysitting and earn. You know starting at 13 I babysat and spent my babysitting money to help buy the school clothes that I wanted rather than what just what we could afford. And, if I wanted a car, we had to buy our own car. My parents might loan us the money to-to get us started with the down payment, but we were expected to pay that back. Kids now, everything is handed to them. They're given a car, they're given everything, and they don't know what it's like to struggle and work for things; and I think that's been the ruination of our younger generation.",change;values;family
,EF,Have you noticed any things that have kind of stayed the same? Maybe?,change
,JS,"I mean, somewhat. Again there's- the divorce rates are way, way higher. There's a lot more single parent families. Where- in the 60s, when I was growing up, there was- 90% of the time there was two parents. There was very few single mothers, and I don't remember any single fathers, so to speak. That's a lot more common now. ",change;family
,JS,"But I mean there's still a nuclear family just not as prevalent. I think the single parenting out there is larger than the nuclear family anymore. Or, if it's a nuclear family it's a second marriage to- you know, stepparents and that kind of thing, a lot more so than when I was growing up. Uhm, people still you know have faith. People still have families that they love, and they love their children, and they try to raise them, but there's uhm yeah. I don't know there's not a lot that has stayed the same you know. Other than the earths still turning and that kind of thing. The seasons have changed, the weather patterns have changed; life is a whole lot different than it was yeah, sixty years ago or whatever.",change;family
,EF,"So, have you personally; as you've grown up, kind of changed your mind on any big issues since the 1960s?",adulthood;change;values
,JS,"Yes. Well yes, I'm a lot more liberal than I probably was. Again, in the 60s I was pretty much a child, so I didn't have any opinions about things other than ""I wanna go out and play"", or ""I wanna do what I wanna do"". As a child does. But, from the-from the 70s I guess is where I could speak from, more than the 60s. I'm a lot more liberal and open minded than I used to be. I'm a lot more accepting of life; like sexual orientation and peoples... space, and people's right to their own opinions, and-and that thing. I'm not as rigid as I was as a younger person. I've gotten more flexible, and thoughtful in my old age.",adulthood;change;values
,EF,"Mhm, yeah! Well, thank you so much for your time.",
,JS,You're welcome!                                                                                                                      EF,
,EF,Did you have anything else that you maybe wanted to add before we stopped the recording?,
,JS,Not that I can think of. Everything I- do you have any questions about anything I said?,
,EF,I don't think so!,
,JS,OK,
